operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url
Ziraat Bankası,34725452,2025-12-31,31 Aralık 2025 23:35,Gökhan,"Ziraat Bankası Mobil Uygulaması Çöküyor, Acil Ödeme Yapamıyorum","Ziraat Bankası mobil uygulamasından havale yapmak isterken uygulama aniden kapandı ve o andan beri tekrar açılmıyor. Uygulamaya girmeye çalıştığımda “Özür dileriz, işleminizi gerçekleştiremiyorum; lütfen çağrı merkezini arayın” şeklinde bir uyarı alıyorum.
Bu nedenle yaklaşık 5 saattir acil olarak göndermem gereken bir ödemeyi yapamıyor ve ciddi şekilde mağdur oluyorum. Uyarıda çağrı merkezini aramam söylenmesine rağmen, mobilim bloke olduğu için
müşteri hizmetleri
ne bağlanamıyor ve “Buradan size hizmet veremiyorum” cevabını alıyorum. Böyle bir durumda herhangi bir yerden destek alamamak, özellikle acil ödeme ihtiyacım varken beni daha da zor durumda bırakıyor.
Mobil uygulamadaki bu bloke'nin kaldırılmasını, uygulamaya tekrar sorunsuz şekilde giriş yapabilmeyi ve acil ödememi gerçekleştirebilmem için en kısa sürede tarafıma çözüm sunulmasını talep ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formunu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Çözüldü,5.0,Ziraat Bankası mobil uygulamasından havale yapmak isterken uygulama aniden kapandı ve o andan beri tekrar açılmıyor. Uygulamaya girmeye çalıştığımda “,Havale,515,0,https://www.sikayetvar.com/ziraat-bankasi/ziraat-bankasi-mobil-uygulamasi-cokuyor-acil-odeme-yapamiyorum
Ziraat Bankası,34725387,2025-12-31,31 Aralık 2025 23:24,Dilara,Ziraat Bankası Mobil Uygulama Giriş Hatası Ve Acil Yardım İsteği,"Ziraat Bankası
mobil bankacılık
bireysel hesabıma bugün gün boyu giriş yapamıyorum. Uygulamaya girmeye çalıştığımda sistem “kullanıcı bulunamadı” hatası veriyor ve hesabıma kesinlikle erişemiyorum.
Bu sorun nedeniyle hesabımdan para çekemiyor, acil ihtiyacım olmasına rağmen hiçbir işlem yapamıyorum ve mağdur durumdayım.
Müşteri hizmetleri
ve ilgili birimlerle çok uğraşmama rağmen kimse sorunumla ilgilenmedi ve herhangi bir çözüm sunulmadı.
Mobil bankacılık giriş sorunumun acil olarak çözülmesini, hesabıma yeniden erişimimin sağlanmasını ve mağduriyetimin ivedilikle giderilmesini talep ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’ nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Bilinmiyor,1.0,"Ziraat Bankası mobil bankacılık bireysel hesabıma bugün gün boyu giriş yapamıyorum. Uygulamaya girmeye çalıştığımda sistem “kullanıcı bulunamadı” hatası veriyor ve hesabıma kesinlikle erişemiyorum. Bu sorun nedeniyle hesabımdan para çekemiyor, acil ihtiyacım olmasına rağmen hiçbir işlem yapamıyorum",Banka Kartı,0,0,https://www.sikayetvar.com/ziraat-bankasi/ziraat-bankasi-mobil-uygulama-giris-hatasi-ve-acil-yardim-istegi
Ziraat Bankası,34724999,2025-12-31,31 Aralık 2025 22:25,Yılmaz,Banka Hesabımdan Yetkisiz 3535 TL Kesinti Ve İade Talebi,"31.12.2025 tarihinde Ziraat Bankası’na ait 5004 ile biten hesabımdan, “Banka kartı alışveriş borcu tahsilatı” adı altında bilgim dışında 3535 TL tutarında bir kesinti yapılmıştır. Söz konusu kartım yalnızca hesap kartı olup, herhangi bir alışveriş borcum bulunmamaktadır. Ayrıca, maaşım yatırıldığında kredili mevduat hesabımın (KMH) faizi zaten düzenli olarak tahsil edilmektedir.
Bu kesintiyle ilgili olarak hem müşteri hizmetleriyle görüştüm Ancak herhangi bir net açıklama alamadım; tarafıma yalnızca “öteleme özelliği olduğu” ve “yanlış ya da eksik bilgilendirme yapılmış olabileceği” söylendi. Benim kendi hesabımdaki paramı banka, sanki kendi parasıymış gibi öteleme işlemi uygulayarak benden tahsil etmiş. Böyle bir uygulamadan kesinlikle haberim yoktu ve hesap açılırken bu konuda tarafıma hiçbir açıklama yapılmadı. Kendi paramın üzerinde bankanın bu şekilde bir tasarrufta bulunmasını kabul etmiyorum ve bu işlemin hukuka uygun olmadığını düşünüyorum.
Hesap numaram:620-73932857-5004 Yapılan bu işlemin tarafıma detaylı şekilde açıklanmasını ve bilgim dışında kesilen tutarın ne zaman iade edileceği konusunda bilgi verilmesini talep ediyorum. Mağduriyetimin en kısa sürede giderilmesini rica ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi internet sitemizde yer alan İletişim Formu’ nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.  

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Bilinmiyor,3.0,"31.12.2025 tarihinde Ziraat Bankası’na ait 5004 ile biten hesabımdan, “Banka kartı alışveriş borcu tahsilatı” adı altında bilgim dışında 3535 TL tutarında bir kesinti yapılmıştır. Söz konusu kartım yalnızca hesap kartı olup, herhangi bir alışveriş borcum bulunmamaktadır. Ayrıca, maaşım yatırıldığınd",Banka Kartı,0,0,https://www.sikayetvar.com/ziraat-bankasi/banka-hesabimdan-yetkisiz-3535-tl-kesinti-ve-iade-talebi
Ziraat Bankası,34724947,2025-12-31,31 Aralık 2025 22:13,Kader,Aralık Ekstresine Yansıtılan 294 TL Kart Aidatı İadesi Talebi,"Uzun yıllardır Ziraat Bankası müşterisiyim ve yaklaşık 9 yıldır Bankkart kredi kartımı düzenli olarak kullanıyor, ödemelerimi de aksatmadan yapıyorum. Ancak 31.12.2025 tarihli Aralık ekstreme 294 TL tutarında “kart ücreti” yansıtıldığını gördüm ve bu durumu kesinlikle kabul etmiyorum.
Yıllardır düzenli ve sorunsuz bir şekilde ödeme yapan bir müşteri olmama rağmen böyle bir kart aidatının alınması beni hem şaşırttı hem de mağdur etti. Şu ana kadar bu ücretle ilgili banka ile herhangi bir kanaldan iletişime geçmedim, konuyu öncelikle buradan iletmek istedim.
Bu nedenle, 31.12.2025 tarihinde Aralık ekstreme yansıtılan 294 TL kart aidatının tamamının hiçbir kesinti olmadan tarafıma iade edilmesini talep ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Bilinmiyor,1.0,"Uzun yıllardır Ziraat Bankası müşterisiyim ve yaklaşık 9 yıldır Bankkart kredi kartımı düzenli olarak kullanıyor, ödemelerimi de aksatmadan yapıyorum. Ancak 31.12.2025 tarihli Aralık ekstreme 294 TL tutarında “kart ücreti” yansıtıldığını gördüm ve bu durumu kesinlikle kabul etmiyorum. Yıllardır düz",Kredi,343,0,https://www.sikayetvar.com/ziraat-bankasi/aralik-ekstresine-yansitilan-294-tl-kart-aidati-iadesi-talebi
Ziraat Bankası,34724768,2025-12-31,31 Aralık 2025 21:54,Emin,Bloke Hesabımda 3 Bin TL Eksi Bakiye Ve Para Kullanılamazlığı,"Ziraat Bankası’nda öğrenci hesabı kullanıyorum. Hesabımda KMH’li ürün bulunmasına rağmen yaklaşık 1 haftadır hesabım -3.000 TL eksi bakiyede görünüyor ve içindeki 2.150 TL’yi hiçbir şekilde kullanamıyorum.
Müşteri temsilcisini aradığımda hesabımda bloke olduğu, bu nedenle işlem yapamadıkları ve şubeye gitmem gerektiği söylendi. Sağlık sorunlarım nedeniyle şubeye gidemiyorum. Telefonda blokenin kredi kartı borcundan kaynaklandığı ifade edildi ancak yine de hesap bakiyemi kullanamıyorum.
Ben, hesabımdaki blokenin kaldırılmasını ve en azından kredi kartımın asgari tutarını ödeyebilecek şekilde hesabımdaki parayı kullanabilmeyi talep ediyorum. Rahatsızlığımdan dolayı şubeye gidemediğim için gerekli işlemlerin müşteri hizmetleri ya da mobil kanallar üzerinden yapılmasını, mağduriyetimin acil olarak giderilmesini istiyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’ nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Çözüldü,1.0,"Ziraat Bankası’nda öğrenci hesabı kullanıyorum. Hesabımda KMH’li ürün bulunmasına rağmen yaklaşık 1 haftadır hesabım -3.000 TL eksi bakiyede görünüyor ve içindeki 2.150 TL’yi hiçbir şekilde kullanamıyorum. Müşteri temsilcisini aradığımda hesabımda bloke olduğu, bu nedenle işlem yapamadıkları ve şu",Hesap,0,0,https://www.sikayetvar.com/ziraat-bankasi/bloke-hesabimda-3-bin-tl-eksi-bakiye-ve-para-kullanilamazligi
Ziraat Bankası,34724764,2025-12-31,31 Aralık 2025 21:48,Berat,Ek Hesap Faiz Kesintilerinde Tutarsızlık Ve Açıklama Talebi,"19/12/2025 tarihinde Ziraat Bankası Ankara Polatlı şubesindeki hesabımda 87 TL bakiye bulunmaktaydı. Yapmış olduğum bir alışveriş sırasında bakiyem yetersiz olduğu için 53 TL tutarında ek hesap (KMH) kullanımı gerçekleşti. Aradan bir gün bile geçmeden hesabıma 800 TL para yatırmama rağmen 21/12 tarihinde ek hesabım için gün sonu faiz kesintileri yapıldı ve Aralık ayına ilişkin 0,32 TL, 0,29 TL ve 5,79 TL tutarlarında faiz tahsilatı gerçekleşti.
Daha önce ek hesabımı kullandıktan sonra aynı gün veya ertesi gün içinde çok daha yüksek meblağlarda para yatırdığım halde herhangi bir faiz kesintisi yapılmadığı işlemlerim oldu. Bu son işlemde faiz tahsil edilmesi, önceki benzer işlemlerle çeliştiği için uygulamada tutarsızlık ve mağduriyet oluşturmuştur.
Konuyla ilgili olarak
müşteri hizmetleri
ile defalarca görüşmeme rağmen tarafıma net, tatmin edici ve inandırıcı bir açıklama yapılmadı. Bu nedenle söz konusu faiz kesintilerinin hangi gerekçeyle uygulandığının ve neden daha önceki benzer işlemlerde faiz alınmazken bu işlemde faiz tahsil edildiğinin tarafıma yazılı ve açık şekilde bildirilmesini talep ediyorum. Ayrıca hesabımdan kesilen faiz tutarlarının iadesini istiyorum.
Gerekli incelemenin yapılarak mağduriyetimin giderilmesini, ek hesap faiz işleyişine ilişkin açık ve çelişkisiz bir bilgilendirme yapılmasını arz ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi kullanarak iletebilir.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Bilinmiyor,1.0,19/12/2025 tarihinde Ziraat Bankası Ankara Polatlı şubesindeki hesabımda 87 TL bakiye bulunmaktaydı. Yapmış olduğum bir alışveriş sırasında bakiyem yetersiz olduğu için 53 TL tutarında ek hesap (KMH) kullanımı gerçekleşti. Aradan bir gün bile geçmeden hesabıma 800 TL para yatırmama rağmen 21/12 tari,Hesap,611,0,https://www.sikayetvar.com/ziraat-bankasi/ek-hesap-faiz-kesintilerinde-tutarsizlik-ve-aciklama-talebi
Ziraat Bankası,34724553,2025-12-31,31 Aralık 2025 21:18,Gülcan,Ziraat Bankası'na Trendyol Yemek İadesi Gecikmesi Mağduriyet Yaratıyor,"Ziraat Bankası hesabıma Trendyol Yemek üzerinden yapılan 205,79 TL tutarındaki iadenin 8 Aralık tarihinde yatırılacağı söylendi ancak aradan zaman geçmesine rağmen hâlâ hesabıma geçmedi. Trendyol Yemek tarafında iadenin yapıldığına dair onay ve ilgili kayıtlar elimde mevcut.
Bu durumla ilgili bankanızla iletişime geçtiğimde iadenin yatırılacağı bilgisi verildi fakat buna rağmen herhangi bir hareket olmadı ve sorun çözülmedi. Sürekli bekletilmekten ve net bir sonuç alamamaktan dolayı mağdur oldum.
G** A******* olarak Ziraat Bankası’ndan Trendyol Yemek üzerinden yapılan 205,79 TL tutarındaki iademin hiçbir gecikme olmadan acilen hesabıma yatırılmasını talep ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’ nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Bilinmiyor,1.0,"Ziraat Bankası hesabıma Trendyol Yemek üzerinden yapılan 205,79 TL tutarındaki iadenin 8 Aralık tarihinde yatırılacağı söylendi ancak aradan zaman geçmesine rağmen hâlâ hesabıma geçmedi. Trendyol Yemek tarafında iadenin yapıldığına dair onay ve ilgili kayıtlar elimde mevcut. Bu durumla ilgili banka",Banka Kartı,153,0,https://www.sikayetvar.com/ziraat-bankasi/ziraat-bankasina-trendyol-yemek-iadesi-gecikmesi-magduriyet-yaratiyor
Ziraat Bankası,34723838,2025-12-31,31 Aralık 2025 19:42,İlayda,"ATM 5.000 TL Yuttu, Hesabımda Görünmüyor","31.12.2025 tarihinde saat 18.50 civarında Antalya ili Muratpaşa ilçesi Sinan Mahallesi, Hüsnü Karakaş Caddesi üzerinde bulunan PTT bankamatiğine Ziraat Bankası hesabıma yatırmak üzere 5.000 TL para yatırdım. Parayı
ATM
’ye yerleştirdikten sonra ekranda herhangi bir uyarı veya hata almadan, işlem bitiminde cihaz “arızalı” uyarısı vererek parayı yuttu ve tutar hesabıma geçmedi.
Olayın hemen ardından ATM üzerinde yazan numaraları aramama rağmen hiçbir şekilde telefona cevap veren olmadı ve anında bir muhatap bulamadım. Hem yatırdığım tutarın yüksekliği hem de işlemin kartım ve hesabım için oluşturduğu belirsizlik nedeniyle ciddi mağduriyet yaşıyorum.
Yatırmaya çalıştığım 5.000 TL’nin acilen Ziraat Bankası hesabıma aktarılmasını ve bu arıza ile ilgili tarafıma yazılı olarak detaylı bilgi verilmesini talep ediyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Çözüldü,1.0,"31.12.2025 tarihinde saat 18.50 civarında Antalya ili Muratpaşa ilçesi Sinan Mahallesi, Hüsnü Karakaş Caddesi üzerinde bulunan PTT bankamatiğine Ziraat Bankası hesabıma yatırmak üzere 5.000 TL para yatırdım. Parayı ATM’ye yerleştirdikten sonra ekranda herhangi bir uyarı veya hata almadan, işlem biti",,303,0,https://www.sikayetvar.com/ziraat-bankasi/atm-5000-tl-yuttu-hesabimda-gorunmuyor
Ziraat Bankası,34723707,2025-12-31,31 Aralık 2025 19:29,Erdem,Ziraat Bankası Yalova Merkez Şubesinde Bakiye Görünmüyor,"Ziraat Bankası Yalova Merkez şubesindeki vadesiz hesabımda bugün itibarıyla ciddi bir kullanılabilir bakiye sorunu yaşıyorum. Hesap bakiyem 1.200 TL görünmesine rağmen kullanılabilir bakiyem 0 TL görünüyor ve bu nedenle hesabımdaki parayı hiçbir şekilde kullanamıyorum.
Herhangi bir bilgilendirme, açıklama veya tarafıma iletilmiş bir blokaj bildirimi olmadığı için sorunun nedenini de bilemiyorum.
Müşteri hizmetleri
ya da şubeyle henüz görüşme sağlayamadım.
Hesabımdaki paranın derhal kullanılabilir hale getirilmesini ve eğer herhangi bir bloke veya başka bir işlem varsa bunun nedeninin tarafıma açık ve net şekilde yazılı veya telefon yoluyla bildirilmesini istiyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’ nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Bilinmiyor,,"Ziraat Bankası Yalova Merkez şubesindeki vadesiz hesabımda bugün itibarıyla ciddi bir kullanılabilir bakiye sorunu yaşıyorum. Hesap bakiyem 1.200 TL görünmesine rağmen kullanılabilir bakiyem 0 TL görünüyor ve bu nedenle hesabımdaki parayı hiçbir şekilde kullanamıyorum. Herhangi bir bilgilendirme, a",Hesap,0,0,https://www.sikayetvar.com/ziraat-bankasi/ziraat-bankasi-yalova-merkez-subesinde-bakiye-gorunmuyor
Ziraat Bankası,34723531,2025-12-31,31 Aralık 2025 19:07,Kerem,Ziraat Bankası’nda Açıldığı Şubeden Hesap Kapatma Şartı,"Ziraat Bankası’nda eski iş yerimin maaş ödemeleri için açılmış bir hesabım bulunuyor. Geçen ay bu hesabı kapatmak için İzmir 9 Eylül İnciraltı Şubesi’ne gittiğimde, hesabımı sadece açıldığı şubeden kapatabileceğim söylendiğini öğrendim. Bugüne kadar hiçbir bankada böyle bir uygulamayla karşılaşmadım.
Şubedeki görevliler hesabın Alsancak şubesinden açıldığını, bu nedenle ancak oradan kapatılabileceğini belirttiler. Alsancak şubesinin yerini tam olarak bilmiyorum; ayrıca evime ters kaldığı ve çalıştığım için vaktim de olmadığı için oraya gitme imkanım yok.
Müşteri hizmetleri
ni aradığımda da sadece şubeden işlem yapılabileceği tekrar edildi ve başka bir çözüm sunulmadı. Bu sebeple şu anda Ziraat Bankası’nda durduk yere iki hesabım bulunuyor ve gereksiz yere mağduriyet yaşıyorum.
Ziraat Bankası’ndan, hesabımın sadece açıldığı şubeye gitmek zorunda kalmadan, bulunduğum herhangi bir şubeden ya da uzaktan telefonla kapatılabilmesini talep ediyorum. Özellikle Alsancak şubesinde görünen hesabımın, ek bir uğraş ve zaman kaybı yaşatılmadan kapatılmasını istiyorum.","Değerli Müşterimiz, iletmiş olduğunuz bildiriminiz Bankamıza ulaşmıştır. Bankamızda kayıtlı iletişim bilgileriniz üzerinden en kısa sürede tarafınıza bilgi verilecektir.

Bankamız ürün ve hizmetleri ile ilgili paylaşmak istediğiniz tüm öneri ve isteklerinizi İletişim Formu’ nu kullanarak iletebilir veya 7 gün 24 saat hizmet alabileceğiniz Müşteri İletişim Merkezimizi arayabilirsiniz.

Saygılarımızla,

T.C Ziraat Bankası A.Ş.
devamını gör",Çözüldü,1.0,"Ziraat Bankası’nda eski iş yerimin maaş ödemeleri için açılmış bir hesabım bulunuyor. Geçen ay bu hesabı kapatmak için İzmir 9 Eylül İnciraltı Şubesi’ne gittiğimde, hesabımı sadece açıldığı şubeden kapatabileceğim söylendiğini öğrendim. Bugüne kadar hiçbir bankada böyle bir uygulamayla karşılaşmadım",Maaş,761,0,https://www.sikayetvar.com/ziraat-bankasi/ziraat-bankasinda-acildigi-subeden-hesap-kapatma-sarti
